bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
50381,11053,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,23,945,31,,,,,,,,,,,7835,17,,,549,31,,,,,45,16,133,20,,,,,168,81,,,,,,,,,,,,,,,,,,,,,123,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,17,75,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,10150,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,34,,,,,,,1115,24,,,,,,,,,,,8956,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,9375,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,30,,,,,,,117,19,,,,,,,817,34,,,,,,,33,13,,,5160,24,,,246,48,,,5,7,209,8,55,30,,,,,735,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,23,,,,,,,,,,,,,,,,,306,34,571,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,25,,,62,13,,,,,,,,,,,,,,,,,,,,,312,21,,,,,110,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,,,,,,,20,15,,,,,97,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,49
4192,9003,28,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,19,,,,,,,48,25,,,,,75,13,953,30,,,,,,,15,16,,,4455,29,,,216,50,,,,,,,41,37,,,,,364,52,,,,,,,,,,,,,,,4,7,,,,,28,40,,,,,,,,,,,37,29,,,,,,,,,,,,,,,,,359,31,381,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,38,,,,,,,,,,,,,,,,,,,,,,,,,114,31,,,,,,,,,,,,,1548,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,30,,,,,,,,,,,,,,,,,,,,,,,,,,,17,32,,,,,,,,,,,,,,,,,,,,,4,10,,,,,,,,,,,68,57
822,8802,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,23,18,,,,,,,,,,,,,,,12,36,,,,,,,104,20,,,8,5,13,46,1081,25,,,,,,,41,10,,,2791,52,10,5,431,37,,,,,,,156,11,,,,,1027,21,,,,,,,,,,,,,,,,,,,,,33,37,,,,,,,,,,,111,16,,,,,,,,,,,,,,,,,544,22,345,29,,,,,,,,,,,,,105,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,19,6,12,48,18,,,,,,,,,,,,,,,,,,,,,299,22,,,,,124,34,,,,,,,580,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,23,,,,,,,,,,,,,,,,,,,,,,,,,,,1,57,,,,,,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,394,21
6819,8732,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,15,4877,3,,,,,,,,,,,1803,65,5,19,113,69,,,,,,,29,48,,,,,240,65,,,,,,,,,,,,,,,,,,,,,42,33,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,342,32,126,56,,,,,,,,,,,,,18,49,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,70,60,,,16,34,,,,,,,,,,,,,,,,,,,,,556,13,,,,,31,53,,,,,,,151,47,,,,,,,,,,,,,,,,,,,,,30,13,,,,,,,,,,,,,44,41,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,53
11733,8597,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,102,,,,,,,,,10,2,1707,67,,,,,,,,,,,,,,,,,374,51,,,,,,,,,,,,,,,,,,,,,,,,,,,630,1,,,,,21,39,,,,,,,,,,,,,,,,,5392,2,59,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,,,,,113,4,,,,,50,10,,,,,8,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952,8544,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,,,,,,,,,,,,,141,8,999,29,,,,,,,,,,,4194,30,8,8,587,29,,,4,9,,,138,16,,,,,937,22,,,,,,,,,,,,,,,,,,,,,9,56,,,,,,,,,,,,,,,,,,,14,17,,,,,,,15,5,476,25,29,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,30,,,57,16,,,,,,,,,,,,,,,,,,,,,,,,,,,109,38,,,,,,,105,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2398,8311,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,49,302,78,,,,,,,,,,,6508,21,2,38,147,58,,,,,,,14,85,,,,,733,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,89,181,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,56,,,,,,,,,,,,,,,,,,,,,,,,,67,40,,,,,,,,,,,,,142,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,54,,,,,,,,,,,,,,,,,,,,,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39856,8286,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,11,,,,,,,,,,,,,,,39,15,,,,,,,131,17,,,,,15,42,757,40,,,,,,,,,,,1915,63,,,1841,12,,,,,,,32,44,,,,,537,38,,,,,,,,,,,,,,,,,,,,,135,15,,,,,,,,,,,52,27,,,,,,,,,,,,,,,,,1420,6,,,,,,,,,,,,,,,19,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,39,,,,,,,,,,,,,,,,,,,,,159,27,,,,,223,20,,,,,,,727,19,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,34
2386,7943,35,,,,,,,,,,,38,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,21,,,,,,,36,31,,,,,25,30,280,83,,,,,,,,,,,3260,42,6,14,1924,11,,,,,,,61,29,,,,,660,32,,,,,,,,,,,,,,,,,,,,,36,36,,,,,,,,,,,44,28,6,11,,,,,,,,,,,,,,,262,39,,,,,,,,,,,,,,,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,99,8,,,,,,,,,,,,,,,,,,,,,107,32,,,,,156,29,,,,,,,92,63,,,,,,,,,,,,,,,,,,,,,16,18,,,,,,,,,,,,,93,22,,,,,,,,,,,,,24,14,,,,,,,,,,,,,13,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,628,16
18011,7604,36,8,7,,,,,,,,,56,19,,,,,,,,,,,,,,,,,,,,,,,14,4,,,,,,,41,3,,,,,,,,,16,32,,,,,,,47,26,,,,,,,227,98,,,,,,,,,,,3696,36,1,50,635,28,12,15,4,10,,,16,75,,,,,194,74,,,,,,,,,,,,,,,,,,,,,19,49,71,5,,,9,16,,,,,21,41,,,,,,,29,15,,,,,,,,,85,84,1145,13,,,,,,,,,10,3,,,36,22,,,,,,,,,8,3,,,5,14,,,,,,,8,2,,,,,,,28,3,,,,,31,8,,,,,,,,,,,,,36,79,7,11,8,42,,,,,,,,,,,,,,,,,,,,,63,45,,,,,267,18,,,,,,,407,25,,,,,,,,,,,,,,,,,4,10,8,4,15,19,,,,,,,,,,,,,29,52,,,,,11,6,,,,,,,,,,,,,,,43,19,,,,,27,23,,,5,2,,,,,92,13,,,,,,,,,,,7,7,,,,,,,,,,,103,44
2921,7045,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,68,,,,,,,,,,,,,,,557,50,,,,,,,,,,,4636,27,,,,,,,,,,,,,,,,,245,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152,12,,,,,,,,,,,,,81,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6959,38,,,,,,,,,,,221,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,90,,,,,,,,,,,2489,58,,,1078,21,,,,,,,18,70,,,,,323,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,16,,,,,,,,,307,33,1908,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,62,,,,,,,,,,,,,,,,,,,,,138,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255613,6776,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,30,404,,,,,,,,,,,590,149,,,,,,,,,,,,,,,,,15,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2394,2,,,,,,,,,13,207,,,,,,,233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2428,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,32
73664,6703,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,80,,,744,25,,,,,,,,,,,,,4560,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,6619,41,,,,,,,,,,,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,28,,,,,,,24,38,,,,,36,22,448,60,,,,,,,,,,,3994,31,5,16,310,43,,,2,13,121,11,25,55,,,,,482,42,,,,,,,,,,,,,,,,,,,,,97,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,61,,,,,,,,,,,,,,,26,32,,,,,,,,,,,,,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,13,,,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,58,,,,,,,,,,,,,,,,,,,,,6,28,,,,,,,,,,,,,39,45,,,,,,,,,,,,,,,,,,,,,,,,,,,27,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,55
2407,6585,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,300,,,,,,,,,,,6448,22,,,91,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,6122,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,33,,,,,,,,,,,705,134,,,1578,15,,,,,,,,,,,,,43,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,58,702,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,33,,,,,,,902,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784,12
5432,6052,44,,,,,,,,,,,176,10,,,9,2,,,,,,,,,,,,,,,,,,,,,46,13,,,,,38,4,,,,,,,,,23,22,,,,,,,,,,,,,,,295,81,,,,,,,,,,,1501,74,,,1273,19,,,,,352,7,31,45,,,,,194,73,,,,,,,,,,,,,,,,,34,3,,,57,27,355,3,,,,,,,,,,,,,,,,,349,5,,,,,,,,,162,52,127,54,,,,,,,,,,,,,25,36,,,,,,,,,,,,,7,3,,,,,39,5,,,,,,,,,18,5,,,24,3,,,,,,,,,,,,,,,140,42,25,2,33,26,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,12,,,,,18,66,,,,,83,2,,,71,2,,,382,4,,,,,,,,,,,,,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,46
188834,5992,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066,26,,,,,,,,,,,3763,35,,,,,,,,,,,,,,,,,568,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,5914,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,2,,,,,,,,,,,,,13,47,319,73,,,,,,,,,,,576,152,6,15,3071,4,,,16,3,,,20,66,,,,,671,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,42,,,,,,,,,,,,,,,,,564,21,42,82,,,,,,,,,,,,,,,,,,,,,8,5,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,21,,,,,,,,,,,,,,,,,,,,,8,1,,,36,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,19,109
1111,5840,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25,,,,,,,,,,,,,,,780,36,,,,,,,60,9,,,3518,37,,,549,30,,,,,,,,,,,,,153,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,5707,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,27,422,63,,,,,,,,,,,4464,28,,,86,82,,,,,,,47,33,,,,,124,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,55,,,,,,,,,,,,,,,13,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,36,,,34,24,,,,,,,,,,,,,,,,,,,,,,,,,,,22,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,45
30549,5612,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,85,,,,,,,25,37,,,,,4,82,492,57,,,,,,,,,,,3438,39,,,339,41,,,2,18,,,,,,,,,363,53,,,,,,,,,,,,,,,,,,,,,21,46,,,,,,,,,,,7,53,,,,,,,,,,,,,,,,,173,48,264,35,,,,,,,,,,,,,62,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,51,,,18,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,28,,,,,,,,,,,,,,,,,,,,,,,,,,,3,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,80
483,5604,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,64,,,,,,,34,33,,,,,19,35,204,106,,,,,,,,,,,3217,43,2,36,115,68,,,,,,,23,61,,,,,1234,16,,,,,,,,,,,,,,,,,,,,,26,41,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,120,67,263,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,66,,,16,33,,,,,,,,,,,,,,,,,,,,,16,93,,,,,41,46,,,,,,,106,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,64,,,,,,,,,,,,,,,,,,,,,29,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,64
2381,5545,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,13,,,,,,,,,,,,,,,27,428,,,,,,,,,,,4828,25,,,521,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9209,5389,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,53,,,,,,,,,,,,,25,31,520,53,,,,,,,,,,,3127,44,,,162,57,,,,,7,25,83,28,,,,,5,415,,,,,,,,,,,,,,,,,,,,,9,57,,,,,,,,,,,10,50,,,,,,,,,,,,,,,,,277,38,151,49,,,,,,,,,,,,,8,78,,,,,,,,,,,,,,,,,,,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,17,4,16,66,12,,,,,,,,,,,,,,,,,,,,,175,26,,,,,,,,,,,,,233,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,29,,,,,,,,,,,,,4,17,,,,,,,,,,,,,,,,,,,,,,,15,20,,,,,,,,,,,,,,,,,,,,,,,,
1269,5351,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2170,14,,,,,,,,,,,2145,61,,,,,,,,,,,504,6,,,,,124,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36218,5309,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,77,,,,,,,36,32,,,,,6,66,1025,28,,,,,,,,,,,2841,50,,,65,94,,,,,,,24,60,,,,,245,64,,,,,,,,,,,,,,,,,,,,,17,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,125,582,22,,,,,,,,,,,,,23,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,43,,,38,23,,,,,,,,,,,,,,,,,,,,,73,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,38
2399,5184,55,,,,,,,,,,,51,21,,,,,,,,,,,,,10,5,,,,,,,,,,,23,19,,,,,,,,,2,10,,,,,31,16,,,,,,,27,35,,,,,,,199,107,,,,,,,25,14,,,2516,57,5,18,642,27,,,,,15,21,10,93,,,,,150,89,,,,,,,,,,,,,,,,,,,,,54,28,,,,,,,,,,,30,33,,,,,,,,,,,,,,,,,165,51,236,38,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,67,,,,,,,,,,,8,4,,,,,,,,,,,,,49,49,,,,,151,30,,,,,9,14,318,28,,,,,,,,,,,,,,,,,,,2,6,21,14,,,,,,,,,,,,,25,57,,,,,,,,,,,,,,,,,,,,,47,17,,,,,28,21,,,,,,,,,178,11,,,,,,,,,,,,,,,,,,,,,,,95,47
