bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
2952,6354,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,11,,,,,,,,,,,,,90,11,684,36,,,,,,,,,3176,34,6,19,589,19,,,10,7,,,81,17,,,601,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,,,,395,22,47,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,23,,,58,12,,,,,,,,,,,,,,,,,,,85,29,,,,,136,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2921,6345,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,38,,,,,,,,,,,,,,,429,48,,,,,,,,,4312,23,,,,,,,,,,,,,,,263,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,13,,,,,,,,,,,89,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,22,,,,,,,,,,,,,,,,,,,,,,,118,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,6189,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,5,,,,,,,,,,,,,,,16,23,,,,,,,,,,,,,91,10,2555,10,,,,,,,,,19,910,6,20,198,38,10,14,,,7,15,77,18,,,279,43,,,9,2,,,,,,,,,,,16,40,,,,,,,,,,,499,2,,,,,,,,,,,,,,,384,24,102,46,,,,,,,,,,,17,31,,,,,,,15,2,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,45,5,14,109,7,,,,,,,,,,,,,154,26,,,,,714,6,,,246,3,157,49,,,,,,,,,,,,,,,,,39,8,3,15,,,,,,,,,,,46,34,,,,,,,,,,,,,,,,,102,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,39
39856,5616,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,9,,,,,,,,,,,,,,,19,18,,,,,,,57,17,,,,,21,34,550,43,,,,,,,,,2261,47,,,,,,,,,,,,,,,603,24,,,,,,,,,,,,,,,44,24,,,,,,,,,,,93,19,,,,,,,,,,,,,,,476,16,,,,,,,,,,,,,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,51,,,,,,,,,,,,,312,17,,,,,,,,,,,872,16,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,21
36218,5601,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,54,,,,,,,50,20,,,,,6,59,994,23,,,,,,,,,3073,35,,,,,,,,,,,15,52,,,158,65,,,,,,,,,,,,,,,16,42,,,,,,,,,,,,,,,,,,,,,,,,,,,66,76,871,15,,,,,,,,,,,17,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,40,,,18,35,,,,,,,,,,,,,55,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,37
1111,5514,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,42,,,,,,,,,,,,,,,717,35,,,,,40,8,,,3540,27,,,484,22,,,,,,,,,,,254,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,5476,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,45,,,,,,,,,,,,,13,42,221,79,,,,,,,,,3481,28,,,,,,,,,,,20,43,,,238,52,,,,,,,,,,,,,,,18,39,,,,,,,,,,,,,,,,,,,,,,,5,4,,,170,43,378,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,33,,,20,30,,,,,,,,,,,,,17,82,,,,,47,37,,,,,227,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,47,,,,,,,,,,,,,,,,,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,12
2398,5260,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,75,,,,,,,,,4525,21,11,8,,,,,,,,,11,69,,,232,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,54,,,,,,,,,,,,,,,,,19,77,,,,,,,,,,,128,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,48,,,,,,,,,,,,,,,,,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18011,5194,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,,,,,,,,,9,40,,,,,,,48,21,,,,,,,159,100,,,,,,,,,2196,48,6,23,745,17,5,16,,,,,10,80,,,114,80,,,,,,,,,,,,,,,29,34,15,5,,,,,,,,,26,26,,,,,,,,,,,,,,,54,84,841,16,,,,,,,,,,,25,25,,,,,,,4,3,,,,,,,,,,,,,,,6,5,,,,,26,7,,,,,,,,,,,,,40,60,9,10,16,36,,,,,,,,,,,,,67,39,,,,,131,25,,,,,417,28,,,,,,,,,,,,,8,5,6,4,10,21,,,,,,,,,,,,,12,68,,,,,23,3,,,,,,,,,,,38,22,,,,,16,21,,,,,,,,,66,7,,,,,,,,,,,,,,,,,,,,
4192,5130,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,26,,,,,,,54,18,,,,,59,16,958,24,,,,,,,,,2,952,,,237,35,,,,,,,54,23,,,133,70,,,,,,,,,,,6,3,,,16,41,,,,,,,,,,,125,11,,,,,,,,,,,,,,,517,13,384,23,,,,,,,,,,,,,,,,,,,,,,,,,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,26,,,,,,,,,,,,,,,,,137,28,,,,,,,,,,,2157,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,26,,,,,,,,,,,,,,,,,,,,,,,23,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,5083,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,57,,,,,,,,,,,,,20,35,438,47,,,,,,,,,3238,32,,,242,34,,,,,,,37,27,,,642,21,,,,,,,,,,,,,,,,,,,,,,,,,,,16,33,,,,,,,,,,,,,,,268,29,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,31,,,,,,,,,,,,,62,42,,,,,,,,,,,53,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,38,,,,,,,,,,,,,,,,,,,,,,,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386,5050,41,,,,,,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,,,,,,,21,28,,,,,,,,,,,,,,,,,2267,46,2,37,1586,7,,,,,,,32,33,,,257,49,,,,,,,,,,,,,,,50,22,,,,,,,,,,,12,38,,,,,,,,,,,,,,,181,42,,,,,,,,,,,,,14,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,44,19,,,,,,,,,,,,,40,54,,,,,68,34,,,,,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,27,,,,,,,,,,,11,13,,,,,,,,,,,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,14
41114,4815,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30549,4664,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,29,,,,,,,307,61,,,,,,,,,3345,29,,,,,,,,,,,,,,,231,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,69,337,27,,,,,,,,,,,14,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,37,,,18,34,,,,,,,,,,,,,,,,,,,,,,,,,168,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2281,4614,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,34,,,,,,,,,,,,,,,,,,,,,,,,,2936,36,,,1145,13,,,,,,,,,,,263,46,,,,,,,,,,,,,,,21,38,,,,,,,,,,,,,,,,,,,,,,,,,,,188,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,4558,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,3,,,,,,,,,,,,,18,38,216,81,,,,,,,,,496,129,,,2068,4,,,20,3,,,5,111,,,691,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,25,41,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,9,,,,,,,,,,,,,,,7,1,27,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,11,98
98,4328,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,23,1667,14,,,,,,,,,2148,49,,,40,84,,,,,,,6,102,,,65,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,59,,,,,,,,,,,,,16,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,39,,,18,33,,,,,,,,,,,,,,,,,,,19,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,30
5242,4328,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4304,24,,,8,119,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,4307,48,,,,,,,,,,,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,27,,,,,,,22,27,,,,,89,12,293,62,,,,,,,,,2300,45,1,43,229,36,,,,,33,9,21,42,,,257,48,,,,,,,,,,,,,,,95,14,,,,,,,,,,,,,,,,,,,,,,,,,,,64,77,,,,,,,,,,,,,40,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,8,,,26,29,,,,,,,,,,,,,,,,,,,,,,,,,148,51,,,,,,,,,,,,,,,,,5,29,,,,,,,,,,,,,32,37,,,,,,,,,,,,,,,,,,,,,,,6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,47
28,4197,49,,,,,,,,,,,274,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,60,,,,,,,,,2621,39,,,286,30,,,,,,,,,,,297,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,30,,,,,,,,,,,,,,,,,89,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13713,3811,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,39,,,,,,,,,,,,,59,17,810,29,,,,,,,,,1258,71,,,183,42,,,2,13,,,27,37,,,405,32,,,,,,,,,,,,,,,30,32,,,,,,,,,,,5,47,,,,,,,,,,,1,5,,,127,51,271,30,,,,,,,,,,,,,,,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,33,,,,,217,17,,,,,25,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,53,,,,,,,,,,,,,,,,,110,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,23
3955,3741,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,62,,,,,,,15,40,,,,,,,168,97,,,,,,,,,1786,55,,,278,31,,,,,,,,,,,315,38,,,,,,,,,,,,,,,,,,,,,,,,,,,59,22,,,,,,,,,,,,,,,498,14,,,,,,,,,,,,,285,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,18
9364,3722,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3269,6,,,,,,,,,378,159,,,,,,,,,,,,,,,57,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4112,3684,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,25,,,,,,,,,,,,,21,33,248,66,,,,,,,,,1555,63,6,21,258,32,,,4,12,,,,,,,297,41,,,,,,,,,,,,,,,31,31,,,,,,,,,,,,,,,,,18,14,,,,,,,,,96,55,73,55,,,,,,,,,,,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,21,,,30,28,,,,,,,,,,,,,277,19,,,,,172,21,,,,,163,48,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,4,92,,,,,,,,,,,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,27
9209,3673,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,48,,,,,,,,,,,,,14,39,333,57,,,,,,,,,2499,41,,,29,94,,,,,,,47,25,,,10,302,,,,,,,,,,,,,,,,,,,,,,,,,,,16,34,,,,,,,,,,,,,,,168,44,4,93,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,76,48,5,15,67,10,,,,,,,,,,,,,114,30,,,,,,,,,,,190,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,28,,,,,,,,,,,20,10,,,,,,,,,,,,,,,,,,,,,13,11,,,,,,,,,,,,,,,,,,,,
2399,3655,55,,,,,,,,,,,19,12,,,,,,,7,4,,,,,,,,,12,17,,,,,,,,,1,9,,,,,28,9,,,,,,,39,22,,,,,,,174,94,,,,,,,,,1703,59,5,26,350,29,,,,,8,13,9,82,,,143,68,,,,,,,,,,,,,,,32,30,,,,,,,,,,,56,23,,,,,,,,,,,,,,,130,49,155,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,64,,,,,,,1,7,,,,,,,,,80,37,,,,,234,16,,,10,12,290,34,,,,,,,,,,,,,,,,,12,15,,,,,,,,,,,,,15,57,,,,,,,,,,,,,,,,,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,33
1258,3598,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,36,,,,,,,945,25,,,,,,,,,2613,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,3523,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,58,,,,,,,,,,,,,,,229,73,,,,,,,,,2341,43,,,391,26,,,,,,,,,,,301,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11733,3441,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,116,,,,,,,4,1,930,87,,,,,,,,,,,,,,,158,64,,,,,,,,,,,,,,,,,,,,,239,4,,,,,11,41,,,,,,,,,,,,,,,1873,4,28,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,4,,,,,13,9,,,,,2,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,
74,3406,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3279,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11634,3350,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3309,30,,,,,,,,,,,,,,,13,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,79
1293,3268,61,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,46,,,,,,,14,41,,,,,,,146,106,,,,,,,,,2355,42,,,164,43,,,,,,,23,39,,,173,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,36,,,,,,,,,,,,,,,,,37,55,,,,,29,45,,,,,119,59,,,,,,,,,,,,,,,,,,,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,3268,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,180,,,,,,,,,3177,33,,,24,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,2997,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,22,,,,,,,,,1569,62,,,,,,,,,,,228,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68448,2798,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,65,,,,,,,,,,,,,14,40,334,56,,,,,,,,,1711,58,,,,,,,,,,,,,,,513,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,60,,,,,,,,,,,,,8,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,65,,,,,,,2,6,,,,,,,,,86,34,,,,,4,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29146,2772,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,49,,,,,,,,,779,102,,,,,,,,,,,,,,,108,83,,,,,,,,,,,,,,,,,,,,,,,,,,,14,37,,,,,,,,,,,,,,,,,43,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,2676,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,128,,,,,,,,,517,126,,,,,,,,,,,4,127,,,430,30,,,,,,,,,,,,,,,,,,,,,,,,,,,42,25,,,,,,,,,,,,,,,213,35,,,,,,,,,,,,,45,15,,,,,,,,,,,,,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,86,,,3,56,,,,,,,,,,,,,134,29,,,,,,,,,,,981,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,66,,,,,,,,,,,5,17,,,,,,,,,,,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,24
