bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
5072,11135,28,,,,,,,,,,,6,22,,,,,,,,,,,,,,,,,,,7,24,,,,,135,2,,,,,,,,,7,52,,,,,,,,,,,,,195,5,626,49,,,,,,,,,7402,20,6,16,73,81,,,,,,,,,,,381,47,,,,,,,,,,,,,,,13,3,,,,,1032,2,,,,,,,,,,,,,,,111,10,,,,,,,,,91,86,280,31,,,,,,,,,,,,,29,24,,,,,,,,,,,,,,,,,,,,,10,1,,,17,4,,,263,2,,,,,,,,,,,,,,,63,63,5,13,138,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,79,,,,,,,,,,,,,,,18,3,,,,,,,,,,,,,,,25,52,,,,,74,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,48
2398,9579,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,84,,,,,,,,,8248,16,3,26,139,61,,,,,,,15,77,,,454,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,60,,,,,,,,,,,,,,,,,,,,,,,50,54,,,,,,,,,,,169,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,55,,,,,,,,,,,,,,,,,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,9474,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,6,,,,,,,,,,,,,,,22,25,,,,,,,,,,,,,91,13,3941,6,,,,,,,,,12,978,1,45,340,41,18,11,,,89,10,156,19,,,417,44,,,,,1,4,,,,,,,,,,,,,25,37,,,,,,,,,,,793,2,,,,,,,,,,,,,,,833,15,125,50,,,,,,,,,,,,,18,34,,,,,,,14,2,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,44,11,6,91,10,,,,,,,,,,,,,,,,,,,263,25,,,,,1118,3,,,231,2,214,39,,,,,,,,,,,,,,,,,95,5,11,14,,,,,8,10,,,,,67,30,,,,,,,,,,,,,,,,,63,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,44
2392,9005,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,27,,,,,,,116,16,,,,,,,836,37,,,,,8,13,,,4700,30,,,385,34,,,3,14,169,8,42,42,,,950,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32,,,,,,,,,,,,,,,429,30,195,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,24,,,51,20,,,,,,,,,,,,,,,,,,,408,21,,,,,155,31,,,,,,,,,,,,,,,,,,,,,,,16,15,,,,,,,13,9,,,,,87,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,41
5432,8648,32,,,,,,,,,,,121,9,,,14,2,,,,,,,,,,,,,,,33,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,70,,,,,,,,,5054,27,,,1103,20,,,,,185,7,25,52,,,319,55,,,,,,,,,,,,,,,10,4,,,111,16,193,3,,,,,,,,,,,,,,,201,7,,,,,,,,,176,56,100,54,,,,,,,,,,,,,19,33,,,,,,,,,,,,,,,31,7,,,,,,,,,9,6,,,13,3,,,,,,,,,,,,,,,126,42,7,11,47,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,16,2,235,3,,,,,,,,,,,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,36
2921,8278,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,46,,,,,,,,,,,,,,,982,30,,,,,,,,,4296,35,,,,,,,,,,,,,,,591,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736,9,,,,,,,,,,,,,76,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9209,8171,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,40,,,,,,,,,,,,,58,21,605,51,,,,,,,,,4888,29,,,111,68,,,,,16,17,146,21,,,6,377,,,,,,,,,,,,,,,,,,,13,45,,,,,,,,,,,45,27,,,,,,,,,,,,,,,620,22,144,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,14,,,179,6,,,,,,,,,,,,,,,,,,,282,24,,,,,,,,,,,270,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,16,,,,,,,,,,,13,15,,,,,,,,,,,,,,,,,,,,,7,20,,,,,,,,,,,,,,,,,,,,,,,,
2719,8108,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,32,,,,,23,34,690,47,,,,,,,,,5159,25,1,44,476,30,,,,,,,30,48,,,762,27,,,,,,,,,,,,,,,,,,,87,18,,,,,,,,,,,27,36,,,,,,,,,,,,,,,235,49,,,,,,,,,,,,,,,11,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,47,,,,,,,,,,,,,,,,,,,,,,,85,42,,,,,,,,,,,203,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,38,,,,,,,,,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,31
6819,7806,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,23,4511,5,,,,,,,,,1771,69,2,37,73,82,,,,,,,18,64,,,173,80,,,,,,,,,,,,,,,,,,,28,31,,,,,,,,,,,,,,,,,,,,,,,1,7,,,161,62,65,65,,,,,,,,,,,,,12,42,,,,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,78,61,,,38,26,,,,,,,,,,,,,,,,,,,422,19,,,,,63,42,,,,,169,47,,,,,,,,,,,,,,,,,10,17,,,,,,,,,,,,,41,42,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,45
28,7765,37,,,,,,,,,,,191,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,104,,,,,,,,,3907,42,,,238,46,,,,,,,23,54,,,266,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,13,,,,,,,,,150,65,2571,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,49,,,,,,,,,,,,,,,,,44,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11634,7605,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7465,18,,,,,,,,,,,,,,,65,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,52
2386,7401,39,,,,,,,,,,,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,45,,,,,,,33,30,,,,,21,38,476,62,,,,,,,,,3523,43,1,43,1811,10,,,,,,,64,32,,,310,57,,,,,,,,,,,,,,,,,,,27,33,,,,,,,,,,,34,31,,,,,,,,,,,,,,,236,48,,,,,,,,,,,,,,,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,69,14,,,,,,,,,,,,,,,,,,,114,35,,,,,95,36,,,,,13,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,34,,,,,,,,,,,20,10,,,,,,,,,,,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,407,14
30549,7352,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,23,,,,,23,36,709,44,,,,,,,,,5098,26,,,,,,,,,,,,,,,365,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,47,374,24,,,,,,,,,,,,,8,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,34,,,36,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178900,6687,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,6,,,,,,,527,55,,,,,,,,,4939,28,,,,,,,,,,,,,,,153,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,45,,,,,,,,,,,,,,,340,37,96,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,31,,,,,,,,,,,89,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2281,6589,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,30,,,,,,,,,,,,,,,,,,,,,,,,,4677,31,,,1131,19,,,,,,,,,,,291,59,,,,,,,,,,,,,,,,,,,38,30,,,,,,,,,,,,,,,,,,,,,,,,,,,383,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,6179,43,,,,,,,,,,,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,65,,,,,,,38,26,,,,,98,10,439,64,,,,,,,,,3379,45,1,42,373,37,,,6,9,77,12,20,61,,,342,54,,,,,,,,,,,,,,,,,,,84,20,,,,,,,,,,,,,,,,,,,,,,,,,,,157,63,,,,,,,,,,,,,,,13,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,11,,,11,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,37,,,,,,,,,,,,,,,,,5,27,,,,,,,,,,,,,48,39,,,,,,,,,,,,,,,,,,,,,,,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,58
2785,6162,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,3,,,,,,,,,,,,,25,32,275,83,,,,,,,,,643,141,2,35,2614,5,,,9,6,,,12,87,,,751,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,16,36,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,8,,,,,,,,,,,,,,,,,,,5,1,,,45,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,20,90
36218,6088,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,54,,,,,,,63,19,,,,,19,40,1383,19,,,,,,,,,3047,50,,,85,76,,,,,,,42,44,,,216,70,,,,,,,,,,,,,,,,,,,26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,108,77,635,18,,,,,,,,,,,,,15,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,36,,,25,30,,,,,,,,,,,,,,,,,,,65,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,28
18011,5702,46,,,,,,,,,,,26,13,,,,,,,,,,,,,,,,,4,5,,,,,,,53,3,,,,,,,,,10,42,,,,,,,38,27,,,,,,,216,103,,,,,,,,,2218,60,2,38,572,28,11,16,,,,,11,92,,,124,96,,,,,,,,,,,,,,,,,,,28,32,60,4,,,,,,,,,19,42,,,,,18,16,,,,,,,,,66,96,1156,14,,,,,,,,,,,,,40,20,,,,,,,4,4,,,,,,,,,2,2,,,,,,,8,7,,,,,14,8,,,,,,,,,,,,,51,68,6,12,7,41,,,,,,,,,,,,,,,,,,,97,39,,,,,176,27,,,,,494,23,,,,,,,,,,,,,6,9,2,5,6,24,,,,,,,,,,,,,22,56,,,,,13,5,,,,,,,,,,,35,15,,,,,19,24,,,8,2,,,,,60,9,,,,,,,,,,,,,,,,,,,,,,,,
41114,5658,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5426,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5894,5451,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,35,,,,,,,,,,,,,,,521,57,,,,,,,,,1980,66,,,332,42,,,,,,,42,43,,,379,48,,,,,,,,,,,,,,,,,,,45,26,,,,,,,,,,,,,,,,,,,,,,,,,,,318,41,306,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,13,,,,,813,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,41,,,,,,,,,,,,,,,,,26,21,,,,,42,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,50
3955,5139,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,33,,,,,,,7,53,,,,,,,160,125,,,,,,,,,2149,61,,,351,40,,,,,,,,,,,625,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,23,,,,,,,,,,,,,,,1075,11,,,,,,,,,,,,,,,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,66,,,,,,,,,,,147,50,,,,,,,,,,,,,,,,,65,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,20
13713,5052,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,47,,,,,,,,,,,,,61,17,887,35,,,,,,,,,1401,81,,,368,38,,,5,12,,,74,31,,,870,25,,,,,,,,,,,,,,,,,,,42,28,,,,,,,,,,,32,34,,,,,,,,,,,9,2,,,176,57,213,34,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,32,,,,,388,15,,,,,133,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,40,,,,,,,,,,,,,,,,,33,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,26
2381,5051,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,32,,,,,,,,,,,,,,,,,,,,,,,,,4274,36,,,426,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68448,4929,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,,,,,,,,,,,,,14,46,328,77,,,,,,,,,3013,51,,,,,,,,,,,,,,,943,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,42,56,67,,,,,,,,,,,,,29,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,67,,,,,,,,,,,,,,,,,,,,,,,75,45,,,,,22,59,,,,,78,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172225,4575,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,33,,,,,,,13,533,,,,,,,,,4218,37,,,,,,,,,,,,,,,268,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,4514,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,50,,,,,,,,,,,,,19,39,190,114,,,,,,,,,3050,49,,,68,84,,,,,,,16,70,,,277,60,,,,,,,,,,,,,,,,,,,9,46,,,,,,,,,,,,,,,,,,,,,,,,,,,131,70,342,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,62,,,10,38,,,,,,,,,,,,,,,,,,,11,106,,,,,37,52,,,,,131,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,44,,,,,,,,,,,,,,,,,34,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,40
2375,4466,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4445,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,86
11733,4446,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,145,,,,,,,4,1,1184,90,,,,,,,,,,,,,,,185,78,,,,,,,,,,,,,,,,,,,,,,,,,338,3,,,,,10,46,,,,,,,,,,,,,,,2437,4,35,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,61,6,,,,,44,7,,,,,6,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,4404,57,,,,,,,,,,,30,12,,,,,,,8,4,,,,,,,,,,,46,11,,,,,,,,,2,8,,,,,37,14,,,,,,,17,37,,,,,,,231,99,,,,,,,,,1981,65,12,7,449,32,,,,,13,18,26,50,,,131,93,,,,,,,,,,,,,,,,,,,26,35,,,,,,,,,,,32,33,,,,,,,,,,,,,,,198,52,202,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,50,,,,,,,,,3,6,,,,,,,,,,,,,148,33,,,,,196,23,,,7,12,361,27,,,,,,,,,,,,,,,2,4,27,14,,,,,,,,,,,,,20,59,,,,,,,,,,,,,,,,,15,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,39
1269,4393,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145,27,,,,,,,,,2490,57,,,,,,,,,,,351,6,,,84,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,4301,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,98,,,,,,,,,3467,44,,,223,48,,,,,,,29,49,,,275,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4250,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4167,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,4174,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,73,,,,,,,,,,,,,,,248,92,,,,,,,,,2062,64,,,376,36,,,,,,,,,,,577,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
