bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
178900,10654,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,47,,,,,,,71,26,,,,,,,1567,20,,,,,,,,,,,6423,19,,,,,,,,,,,,,,,,,612,31,,,,,,,,,,,,,,,,,,,,,,,289,8,,,,,,,,,,,40,32,,,,,,,,,,,,,,,,,259,41,143,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,47,,,,,,,,,,,,,,,,,,,,,,,,,597,15,,,,,,,,,,,,,469,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5432,9805,25,,,,,,,,,,,328,8,,,2,2,,,,,,,,,,,,,,,,,,,37,13,,,,,46,3,,,,,,,,,24,26,,,,,,,,,,,,,,,299,73,,,,,,,,,,,4983,23,,,1237,14,,,,,575,6,36,43,,,,,246,62,,,,,,,,,,,,,,,,,17,3,,,,,99,17,154,3,,,,,,,,,,,,,,,,,205,7,,,,,,,,,177,55,118,51,,,,,,,,,,,,,27,34,,,,,,,,,,,,,3,15,,,,,,,33,6,,,,,,,,,37,2,,,16,3,,,,,,,,,,,,,,,145,35,5,14,18,33,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,8,,,,,24,53,,,,,266,1,,,82,2,,,196,5,,,,,,,,,,,,,45,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,32
18011,9353,26,5,6,,,,,,,,,49,20,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,35,4,,,,,,,,,24,27,,,,,2,3,58,28,,,,,,,300,72,,,,,,,,,,,3728,29,5,30,845,23,5,19,7,14,,,11,90,,,,,280,58,,,,,,,,,,,,,,,,,,,,,,,39,38,56,5,,,18,16,,,,,51,29,,,,,,,36,13,,,,,,,,,124,65,710,14,,,,,,,,,7,3,,,81,12,,,,,,,,,6,4,,,5,10,,,,,,,,,6,2,,,,,,,19,6,,,,,41,8,,,,,,,,,,,,,66,55,2,17,12,37,,,,,,,,,,,,,,,,,,,,,288,24,,,,,1224,4,,,,,,,722,18,,,,,,,,,,,,,,,,,9,8,9,4,13,22,,,,,,,,,,,,,38,42,,,,,13,6,,,,,,,,,,,,,,,51,25,,,,,51,20,,,6,2,,,,,116,11,,,,,,,,,,,6,8,,,,,,,,,,,163,40
822,8979,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,27,14,,,,,,,,,,,,,,,21,29,,,,,,,142,18,,,4,10,24,29,1154,25,,,,,,,36,13,,,2616,44,9,9,521,33,,,,,,,151,15,,,,,612,30,,,,,,,,,,,,,,,,,,,,,,,70,27,,,,,,,,,,,100,20,,,,,,,,,,,,,,,,,715,14,285,23,,,,,,,,,,,,,47,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,19,50,1,36,24,,,,,,,,,,,,,,,,,,,,,279,25,,,,,447,14,,,,,,,569,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,21,,,,,,,,,,,,,,,,,,,,,11,40,,,,,2,58,,,,,,,,,12,30,,,,,,,,,,,,,,,,,,,,,,,556,19
2392,8928,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,32,,,,,,,140,19,,,,,,,711,36,,,,,,,46,11,,,4819,24,,,245,45,,,6,16,206,8,61,31,,,,,944,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,24,,,,,,,,,,,,,,,,,280,38,230,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,22,,,79,11,,,,,,,,,,,,,,,,,,,,,410,19,,,,,95,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,15,,,,,,,25,16,,,,,92,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,42
2719,8778,29,,,,,,,,,,,87,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,70,,,,,,,31,40,,,,,18,36,554,48,,,,,,,,,,,5604,20,6,24,275,40,15,14,,,,,46,35,,,,,638,29,,,,,,,,,,,,,,,,,,,,,,,106,14,,,,,,,,,,,149,15,,,,,,,,,,,,,,,,,316,35,,,,,,,,,,,,,,,54,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,45,,,,,,,,,,,,,,,,,,,,,,,,,66,44,,,,,,,,,,,,,262,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,46,,,,,,,,,,,,,,,,,,,,,,,,,,,18,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,23
6819,8161,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,23,4242,2,,,,,,,,,,,1648,59,6,25,102,69,,,,,,,25,56,,,,,279,59,,,,,,,,,,,,,,,,,,,,,,,20,44,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,245,44,108,53,,,,,,,,,,,,,18,43,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,76,51,,,20,31,,,,,,,,,,,,,,,,,,,,,522,17,,,,,17,69,,,,,,,490,24,,,,,,,,,,,,,,,,,,,,,33,13,,,,,,,,,,,,,121,17,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,54
50381,7957,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,39,811,32,,,,,,,,,,,5487,21,,,409,34,,,,,41,16,91,28,,,,,239,64,,,,,,,,,,,,,,,,,,,,,,,74,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,24,90,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4192,7830,32,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,17,,,,,,,43,33,,,,,35,22,839,29,,,,,,,17,17,,,4057,28,,,196,50,,,,,,,39,40,,,,,330,49,,,,,,,,,,,,,,,4,9,,,,,,,24,43,,,,,,,,,,,26,37,,,,,,,,,,,,,,,,,322,34,370,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,28,,,,,,,,,,,,,,,,,,,,,,,,,113,35,,,,,,,,,,,,,1047,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,37,,,,,,,,,,,,,,,,,,,,,,,,,,,44,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,67
2386,7822,33,,,,,,,,,,,39,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,34,,,,,,,65,27,,,,,20,34,229,84,,,,,,,,,,,3132,36,3,34,1754,10,,,,,,,69,30,,,,,570,33,,,,,,,,,,,,,,,,,,,,,,,73,26,,,,,,,,,,,51,28,6,12,,,,,,,,,,,,,,,223,47,,,,,,,,,,,,,,,38,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,87,9,,,,,,,,,,,,,,,,,,,,,146,31,,,,,121,33,,,,,,,145,54,,,,,,,,,,,,,,,,,,,,,14,21,,,,,,,,,,,,,79,27,,,,,,,,,,,,,28,13,,,,,,,,,,,,,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,873,12
2952,7198,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,16,,,,,,,,,,,,,83,9,842,28,,,,,,,,,,,3399,34,5,28,695,27,,,8,9,,,164,14,,,,,899,21,,,,,,,,,,,,,,,,,,,,,,,12,52,,,,,,,,,,,,,,,,,,,14,16,,,,,,,6,10,394,26,33,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,33,,,42,17,,,,,,,,,,,,,,,,,,,,,,,,,,,101,36,,,,,,,118,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,10,,,,,,,,,,,,,,,,,,,,,15,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815,7094,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6660,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39856,7089,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,9,,,,,,,,,,,,,,,34,14,,,,,,,132,21,,,,,8,58,620,41,,,,,,,,,,,1552,65,,,1362,12,,,,,,,32,48,,,,,502,37,,,,,,,,,,,,,,,,,,,,,,,83,23,,,,,,,,,,,57,26,,,,,,,,,,,,,,,,,1100,8,,,,,,,,,,,,,,,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,47,,,,,,,,,,,,,,,,,,,,,169,30,,,,,332,16,,,,,,,682,19,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,35,,,,,84,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,35
1917,6330,37,,,,,,,,,,,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,31,,,,,,,18,46,,,,,77,11,593,43,,,,,,,,,,,3511,33,2,37,255,44,,,6,15,137,11,39,39,,,,,478,40,,,,,,,,,,,,,,,,,,,,,,,87,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,75,,,,,,,,,,,,,,,19,41,,,,,,,,,,,,,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657,12,,,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,58,,,,,,,,,,,,,,,,,,,,,11,23,,,,,,,,,,,,,38,40,,,,,,,,,,,,,,,,,,,,,12,38,,,,,9,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,50
2785,6309,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,3,,,,,,,,,,,,,3,83,222,86,,,,,,,,,,,653,134,8,17,2260,6,,,19,3,,,13,80,,,,,771,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,45,,,,,,,,,,,,,,,,,750,13,59,66,,,,,,,,,,,,,,,,,,,,,4,7,,,,,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,5,,,,,,,,,,,,,,,,,,,,,9,1,,,61,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,53,72
2399,5965,39,,,,,,,,,,,53,18,,,,,,,,,,,21,5,,,,,,,,,,,19,17,,,,,,,,,1,9,,,,,54,6,,,,,,,42,34,,,,,,,254,80,,,,,,,25,14,,,2343,51,9,12,767,25,,,,,27,21,38,42,,,,,185,80,,,,,,,,,,,,,,,,,,,,,,,47,32,,,,,,,,,,,39,33,,,,,,,,,,,,,,,,,616,19,120,50,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,48,,,,,,,,,,,4,7,,,,,,,,,,,,,119,34,,,,,172,25,,,,,12,14,388,32,,,,,,,,,,,,,,,,,,,8,5,30,16,,,,,,,,,,,,,25,49,,,,,,,,,,,,,,,,,,,,,103,15,,,,,19,33,,,,,,,,,88,12,,,,,,,,,,,,,,,,,,,,,,,241,30
1258,5682,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,39,,,,,,,816,30,,,,,,,,,,,4789,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2921,5663,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,64,,,,,,,,,,,,,,,452,55,,,,,,,,,,,3675,31,,,,,,,,,,,,,,,,,213,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,13,,,,,,,,,,,,,42,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9209,5342,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,33,,,,,,,,,,,,,37,20,491,52,,,,,,,,,,,2580,48,,,158,54,,,,,7,29,114,24,,,,,482,39,,,,,,,,,,,,,,,,,,,,,,,28,41,,,,,,,,,,,33,34,,,,,,,,,,,,,,,,,276,40,69,63,,,,,,,,,,,,,11,59,,,,,,,,,,,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,25,2,16,41,19,,,,,,,,,,,,,,,,,,,,,207,28,,,,,,,,,,,,,388,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,24,,,,,,,,,,,,,26,14,,,,,,,14,37,,,,,,,,,,,,,,,29,19,,,,,,,,,,,,,,,,,,,,,,,,
483,5154,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,50,,,,,,,36,35,,,,,11,49,176,104,,,,,,,,,,,3688,30,6,22,86,75,,,,,,,24,58,,,,,325,50,,,,,,,,,,,,,,,,,,,,,,,15,49,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,101,78,283,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,59,,,17,34,,,,,,,,,,,,,,,,,,,,,25,81,,,,,33,53,,,,,,,147,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,65,,,,,,,,,,,,,,,,,,,,,34,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,69
13713,5150,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,46,,,,,,,,,,,,,74,12,703,37,,,,,,,,,,,1449,67,,,306,38,,,13,6,,,45,36,,,,,903,20,,,,,,,,,,,,,,,,,,,,,,,28,42,,,,,,,,,,,13,47,,,,,,,,,,,,,2,7,,,360,29,126,47,,,,,,,,,,,,,12,54,,,,,,,,,,,,,,,,,,,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,40,,,,,,,,,,,,,,,,,,,,,,,,,111,38,,,,,291,18,,,,,,,281,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,39,,,,,,,,,,,,,,,,,,,,,75,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,37
6887,5098,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401,27,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,461,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,45,,,,,,,,,,,,,95,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,5007,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,24,,,,,,,,,,,,,,,662,38,,,,,,,139,7,,,2805,38,,,592,29,,,,,,,,,,,,,165,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4710,47,,,,,,,,,,,142,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,92,,,,,,,,,,,1902,55,,,710,26,,,,,,,4,138,,,,,232,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,15,,,,,,,,,242,45,1017,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,48,,,,,,,,,,,,,,,,,,,,,126,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11733,4614,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,141,,,,,,,,,6,2,1238,76,,,,,,,,,,,,,,,,,282,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,2,,,,,19,41,,,,,,,,,,,,,,,,,2193,3,53,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,,,,,,,,,89,4,,,,,64,10,,,,,5,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2281,4596,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,2737,41,,,1063,17,,,,,,,,,,,,,353,45,,,,,,,,,,,,,,,,,,,,,,,34,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381,4439,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,21,,,,,,,,,,,,,,,45,293,,,,,,,,,,,3393,35,,,854,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30549,4384,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,72,,,,,,,25,42,,,,,7,63,385,62,,,,,,,,,,,2494,49,,,270,41,,,5,19,,,,,,,,,293,54,,,,,,,,,,,,,,,,,,,,,,,43,35,,,,,,,,,,,15,44,,,,,,,,,,,,,,,,,178,54,203,36,,,,,,,,,,,,,28,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,49,,,22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,10,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,46
1602,4250,52,,,,,13,2,,,,,70,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,20,,,,,,,33,37,,,,,12,44,221,87,,,,,,,,,,,2659,43,9,11,264,43,,,,,10,25,28,54,,,,,104,105,,,,,,,,,,,,,,,,,,,,,,,41,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,66,,,,,,,,,,,,,,,,,,,,,,,,,111,37,,,,,96,37,,,,,,,150,52,,,,,,,,,,,,,,,,,,,6,6,6,30,,,,,,,,,,,,,10,80,,,,,,,,,,,,,,,,,,,,,55,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,60
188834,4146,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,34,,,,,,,,,,,2765,39,,,,,,,,,,,,,,,,,337,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
